c,Mean,IPA,Example
zero,s? không,/?z??.ro?/,There are zero apples left in the basket.
one,m?t,/w?n/,I have one brother.
two,hai,/tu?/,She has two cats.
three,ba,/?ri?/,I bought three books yesterday.
four,b?n,/f??r/,He has four chairs in his room.
five,n?m,/fa?v/,There are five students in the group.
six,sáu,/s?ks/,She ate six cookies.
seven,b?y,/?sev.?n/,There are seven days in a week.
eight,tám,/e?t/,I need eight pencils for the class.
nine,chín,/na?n/,There are nine apples on the table.
ten,m??i,/ten/,I can count to ten in English.
eleven,m??i m?t,/??lev.?n/,Eleven students came to class today.
twelve,m??i hai,/twelv/,The clock shows twelve o’clock.
thirteen,m??i ba,/?????ti?n/,My little sister is thirteen years old.
fourteen,m??i b?n,/?f???ti?n/,There are fourteen chairs in the room.
fifteen,m??i l?m,/?f?f?ti?n/,I bought fifteen candies for the party.
twenty,hai m??i,/?twenti/,There are twenty students in the classroom.
thirty,ba m??i,/????rti/,The bus arrives in thirty minutes.
hundred,m?t tr?m,/?h?ndr?d/,There are one hundred pages in the book.
thousand,m?t nghìn,/??a?.z?nd/,The city has a population of one thousand people.
