Word,Vietnamese Meaning,IPA,Example
computer,máy tính,/k?m?pju?.t?r/,I use my computer to study and play games.
laptop,máy tính xách tay,/?læp.t?p/,She bought a new laptop for work.
smartphone,?i?n tho?i thông minh,/?sm??t.f??n/,Everyone has a smartphone nowadays.
tablet,máy tính b?ng,/?tæb.l?t/,He reads books on his tablet.
keyboard,bàn phím,/?ki?.b??d/,My keyboard is wireless.
mouse,chu?t máy tính,/ma?s/,The mouse stopped working.
screen,màn hình,/skri?n/,The phone screen is broken.
internet,m?ng internet,/??n.t?.net/,I can’t live without the internet.
website,trang web,/?web.sa?t/,I found the information on a news website.
software,ph?n m?m,/?s?ft.we?r/,The software needs to be updated.
hardware,ph?n c?ng,/?h??d.we?r/,"The problem is with the hardware, not the software."
email,th? ?i?n t?,/?i?.me?l/,I sent you an email this morning.
password,m?t kh?u,/?p??s.w??d/,Never share your password with anyone.
file,t?p tin,/fa?l/,Please save this file on your desktop.
download,t?i xu?ng,/?da?n.l??d/,You can download the app for free.
upload,t?i lên,/??p.l??d/,She uploaded her photos to the cloud.
cloud storage,l?u tr? ?ám mây,/?kla?d ?st??.r?d?/,Cloud storage is very convenient.
robot,ng??i máy,/?r??.b?t/,Robots can help with many tasks.
artificial intelligence,trí tu? nhân t?o,/???.t??f??.?l ?n?tel.?.d??ns/,Artificial intelligence is changing the world.
virtual reality,th?c t? ?o,/?v??.t?u.?l ri?æl.?.ti/,Virtual reality games are very exciting.
