Word,Meaning (Vietnamese),IPA,Example
red,màu đỏ,/red/,The apple is red.
blue,màu xanh dương,/bluː/,The sky is blue.
green,màu xanh lá cây,/ɡriːn/,The grass is green.
yellow,màu vàng,/ˈjeloʊ/,The sun is yellow.
black,màu đen,/blæk/,He wears a black shirt.
white,màu trắng,/waɪt/,Snow is white.
orange,màu cam,/ˈɔːrɪndʒ/,She ate an orange.
pink,màu hồng,/pɪŋk/,Her dress is pink.
purple,màu tím,/ˈpɜːrpl/,Violets are purple flowers.
brown,màu nâu,/braʊn/,The dog has brown fur.
gray,màu xám,/ɡreɪ/,The clouds are gray today.
silver,màu bạc,/ˈsɪlvər/,She bought a silver necklace.
gold,màu vàng kim,/ɡoʊld/,He has a gold ring.
beige,màu be,/beɪʒ/,He painted the wall beige.
navy,màu xanh đậm,/ˈneɪvi/,He wore a navy jacket.
violet,màu tím nhạt,/ˈvaɪələt/,I love violet flowers.
turquoise,màu ngọc lam,/ˈtɜːrkwɔɪz/,I love the turquoise sea.
cyan,màu xanh lơ,/ˈsaɪən/,The logo is cyan and white.
magenta,màu hồng tím,/məˈdʒentə/,The poster has magenta text.
maroon,màu đỏ sẫm,/məˈruːn/,He drives a maroon car.
